onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
3.052734375	5	6252	1	1	0.233	3	1.225	2
8.04443359375	5	16475	2	2	0.185	3	0.969	3
13.04443359375	5	26715	3	2	0.194	2	0.702	1
18.03564453125	5	36937	4	3	0.335	1	0.276	3
23.03564453125	5	47177	5	3	0.852	3	0.635	1
28.02734375	5	57400	6	2	0.051	2	0.501	1
33.02685546875	5	67639	7	2	0.251	1	0.343	2
38.02685546875	5	77879	8	1	0.235	1	0.252	1
43.0185546875	5	88102	9	3	0.218	3	1.168	1
48.0185546875	5	98342	10	2	0.11	2	0.36	1
53.01806640625	5	108581	11	1	0.018	2	1.61	3
58.01806640625	5	118821	12	3	0.008	3	1.436	1
63.009765625	5	129044	13	2	0.743	1	0.493	2
68.00927734375	5	139283	14	2	0.486	2	0.269	1
73.0009765625	5	149506	15	3	0.276	3	0.418	1
78.0009765625	5	159746	16	2	0.393	1	0.426	2
83.00048828125	5	169985	17	1	0.31	2	0.269	3
88.00048828125	5	180225	18	3	0.652	3	0.36	1
92.9921875	5	190448	19	2	0.018	2	0.26	1
97.99169921875	5	200687	20	1	0.285	3	0.426	2
102.99169921875	5	210927	21	1	0.061	1	0.277	1
107.9833984375	5	221150	22	2	0.451	1	0.41	2
112.9833984375	5	231390	23	3	0.227	2	0.344	2
117.98291015625	5	241629	24	2	0.008	3	0.46	3
122.98291015625	5	251869	25	3	0.094	3	1.019	1
127.974609375	5	262092	26	1	0.335	2	0.51	3
132.97412109375	5	272331	27	3	0.402	2	0.96	2
137.97412109375	5	282571	28	2	0.502	1	0.352	2
142.97412109375	5	292811	29	1	0.66	3	0.51	2
147.9736328125	5	303050	30	1	0.586	2	0.361	3
152.9736328125	5	313290	31	3	0.269	1	0.369	3
157.9736328125	5	323530	32	1	0.235	3	0.344	2
162.9736328125	5	333770	33	2	0.069	2	0.335	1
167.96484375	5	343992	34	3	0.393	1	0.335	3
172.96484375	5	354232	35	2	0.094	2	1.069	1
177.95654296875	5	364455	36	1	0.218	2	0.385	3
