onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
13.26904296875	5	27175	1	3	0.933	1	0.659	3
18.2607421875	5	37398	2	1	0.469	1	1.269	1
23.251953125	5	47620	3	2	0.618	3	1.001	3
28.251953125	5	57860	4	3	0.527	1	1.06	3
33.251953125	5	68100	5	1	0.56	3	1.402	2
38.251953125	5	78340	6	2	1.06	1	1.21	2
43.25146484375	5	88579	7	3	0.685	2	0.869	2
48.25146484375	5	98819	8	2	0.769	1	0.827	2
53.25146484375	5	109059	9	3	0.552	3	0.96	1
58.24267578125	5	119281	10	1	0.443	3	1.601	2
63.24267578125	5	129521	11	2	0.802	1	1.519	2
68.24267578125	5	139761	12	3	0.794	0	100	2
73.24267578125	5	150001	13	2	0.677	3	0.602	3
78.23388671875	5	160223	14	1	0.41	1	0.794	1
83.2255859375	5	170446	15	1	0.434	2	1.176	3
88.2255859375	5	180686	16	1	0.511	3	1.285	2
93.22509765625	5	190925	17	3	0.435	2	1.477	2
98.22509765625	5	201165	18	2	0.685	2	0.744	1
103.216796875	5	211388	19	3	0.551	3	1.001	1
108.21630859375	5	221627	20	2	0.934	2	1.426	1
113.21630859375	5	231867	21	1	0.501	1	1.218	1
118.21630859375	5	242107	22	1	0.318	2	1.51	3
123.2158203125	5	252346	23	2	0.502	1	1.277	2
128.2158203125	5	262586	24	2	0.485	2	0.977	1
133.20751953125	5	272809	25	1	0.434	3	1.168	2
138.20703125	5	283048	26	3	0.694	1	0.86	3
143.20703125	5	293288	27	3	0.402	1	1.069	3
148.20703125	5	303528	28	1	0.577	2	1.585	3
153.19873046875	5	313751	29	3	0.802	0	100	2
158.1982421875	5	323990	30	2	0.435	1	0.56	2
163.1982421875	5	334230	31	3	0.744	3	0.835	1
168.18994140625	5	344453	32	1	0.443	2	0.826	3
173.189453125	5	354692	33	3	0.635	1	1.569	3
178.189453125	5	364932	34	2	0.51	3	1.144	3
183.189453125	5	375172	35	1	0.577	2	1.294	3
188.18896484375	5	385411	36	3	0.877	1	0.877	3
193.18896484375	5	395651	37	3	0.419	3	1.01	1
198.1806640625	5	405874	38	2	1.534	2	0.893	1
203.1806640625	5	416114	39	2	0.785	1	0.76	2
208.18017578125	5	426353	40	2	0.535	3	0.66	3
266.0537109375	5	544878	41	2	0.71	3	1.735	3
271.0537109375	5	555118	42	3	0.477	2	0.519	2
276.05322265625	5	565357	43	1	0.385	3	0.844	2
281.05322265625	5	575597	44	2	0.61	1	0.877	2
286.05322265625	5	585837	45	2	0.336	3	1.235	3
291.052734375	5	596076	46	2	0.377	2	1.194	1
296.04443359375	5	606299	47	1	0.443	1	0.576	1
301.04443359375	5	616539	48	1	0.518	2	1.351	3
306.04443359375	5	626779	49	3	0.577	1	1.327	3
311.0439453125	5	637018	50	2	0.535	2	1.577	1
316.03564453125	5	647241	51	2	0.443	1	0.626	2
321.03564453125	5	657481	52	2	0.477	3	0.91	3
326.03515625	5	667720	53	1	0.319	2	1.494	3
331.03515625	5	677960	54	2	0.869	1	0.744	2
336.03515625	5	688200	55	3	0.51	3	0.852	1
341.0263671875	5	698422	56	3	0.543	2	0.702	2
346.0263671875	5	708662	57	1	0.41	1	0.594	1
351.01806640625	5	718885	58	1	0.451	3	0.685	2
356.017578125	5	729124	59	2	0.369	1	0.46	2
361.017578125	5	739364	60	2	1.185	2	0.986	1
366.00927734375	5	749587	61	1	0.376	1	1.101	1
371.00927734375	5	759827	62	3	0.56	3	1.276	1
376.00048828125	5	770049	63	2	0.734	2	0.518	1
381.00048828125	5	780289	64	1	0.401	1	0.851	1
386.00048828125	5	790529	65	3	0.376	1	0.901	3
391	5	800768	66	1	0.294	2	0.944	3
396	5	811008	67	3	0.452	1	1.227	3
401	5	821248	68	2	0.402	1	1.444	2
405.99951171875	5	831487	69	2	0.385	3	0.769	3
410.99951171875	5	841727	70	2	0.51	2	1.285	1
415.9912109375	5	851950	71	1	0.326	3	0.368	2
420.9912109375	5	862190	72	2	1.077	2	1.227	1
425.982421875	5	872412	73	3	0.576	2	0.81	2
430.982421875	5	882652	74	1	0.444	1	0.419	1
435.97412109375	5	892875	75	3	0.443	1	0.56	3
440.9736328125	5	903114	76	2	0.352	1	0.635	2
445.9736328125	5	913354	77	2	1.319	2	0.411	1
450.96533203125	5	923577	78	2	0.493	3	0.66	3
455.96484375	5	933816	79	1	0.56	2	1.085	3
460.96484375	5	944056	80	1	0.552	1	0.585	1
521.68798828125	5	1068417	81	2	0.444	1	1.186	2
526.68798828125	5	1078657	82	1	0.494	3	0.794	2
531.68798828125	5	1088897	83	3	0.41	2	0.944	2
536.68798828125	5	1099137	84	2	0.91	1	0.644	2
541.6875	5	1109376	85	1	1.502	3	0.827	2
546.6875	5	1119616	86	2	0.985	3	0.427	3
551.6875	5	1129856	87	1	0.419	0	100	2
556.68701171875	5	1140095	88	3	0.26	2	0.352	2
561.68701171875	5	1150335	89	2	0.435	1	0.644	2
566.68701171875	5	1160575	90	1	0.927	2	0.494	3
571.68701171875	5	1170815	91	2	0.71	3	0.994	3
576.6865234375	5	1181054	92	3	0.352	1	0.91	3
581.6865234375	5	1191294	93	1	0.319	2	0.56	3
586.6865234375	5	1201534	94	2	0.444	2	0.836	1
591.677734375	5	1211756	95	3	0.443	2	0.684	2
596.677734375	5	1221996	96	1	0.485	3	0.477	2
601.677734375	5	1232236	97	2	0.535	1	0.552	2
606.67724609375	5	1242475	98	3	0.402	2	0.444	2
611.67724609375	5	1252715	99	1	0.41	2	0.494	3
616.67724609375	5	1262955	100	2	0.344	2	0.744	1
621.6689453125	5	1273178	101	1	0.435	3	0.768	2
626.66845703125	5	1283417	102	3	0.51	1	0.635	3
631.66845703125	5	1293657	103	2	0.319	1	0.777	2
636.66845703125	5	1303897	104	1	0.36	2	0.66	3
641.66796875	5	1314136	105	1	0.244	2	1.469	3
646.66796875	5	1324376	106	1	0.344	3	1.044	2
651.65966796875	5	1334599	107	3	0.377	1	1.168	3
656.6591796875	5	1344838	108	2	0.377	1	0.627	2
661.6591796875	5	1355078	109	2	0.61	3	0.71	3
666.6591796875	5	1365318	110	2	0.36	3	0.919	3
671.6591796875	5	1375558	111	2	0.543	3	0.668	3
676.65869140625	5	1385797	112	1	0.46	2	0.527	3
681.65869140625	5	1396037	113	3	0.352	1	0.644	3
686.65869140625	5	1406277	114	2	0.252	2	1.302	1
691.64990234375	5	1416499	115	2	0.301	3	0.893	3
696.64990234375	5	1426739	116	1	0.569	2	0.994	3
701.64990234375	5	1436979	117	3	0.335	2	1.452	2
706.64990234375	5	1447219	118	3	0.302	3	0.569	1
711.64111328125	5	1457441	119	2	0.326	2	0.943	1
716.64111328125	5	1467681	120	1	0.568	1	0.626	1
772.77294921875	5	1582639	121	1	1.085	1	0.777	1
777.76416015625	5	1592861	122	1	0.351	1	0.343	1
782.76416015625	5	1603101	123	3	0.26	2	0.485	2
787.76416015625	5	1613341	124	2	0.31	3	0.544	3
792.76416015625	5	1623581	125	1	0.294	3	0.627	2
