onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
32.77734375	5	67128	1	3	0.558	2	0.516	2
37.76904296875	5	77351	2	3	0.435	3	0.56	1
42.7607421875	5	87574	3	2	0.643	2	0.451	1
47.76025390625	5	97813	4	2	0.717	2	0.459	1
52.76025390625	5	108053	5	1	0.642	3	0.359	2
57.76025390625	5	118293	6	1	0.752	1	0.785	1
62.751953125	5	128516	7	2	0.634	3	0.434	3
67.75146484375	5	138755	8	3	0.769	2	0.502	2
72.75146484375	5	148995	9	3	0.885	3	0.56	1
77.7431640625	5	159218	10	2	0.684	2	0.659	1
82.74267578125	5	169457	11	2	0.76	1	0.626	2
87.74267578125	5	179697	12	1	0.711	3	0.394	2
92.74267578125	5	189937	13	1	0.56	3	0.402	2
97.7421875	5	200176	14	3	0.627	3	0.344	1
102.73388671875	5	210399	15	3	0.776	2	0.734	2
107.73388671875	5	220639	16	2	0.744	1	0.552	2
112.73388671875	5	230879	17	2	0.71	1	0.51	2
117.7333984375	5	241118	18	1	0.719	1	0.352	1
122.72509765625	5	251341	19	3	0.651	1	0.351	3
127.72509765625	5	261581	20	3	0.844	2	0.594	2
132.724609375	5	271820	21	3	0.702	3	0.385	1
137.71630859375	5	282043	22	2	0.618	3	0.401	3
142.71630859375	5	292283	23	2	0.769	2	0.51	1
147.70751953125	5	302505	24	2	0.776	3	0.351	3
152.70751953125	5	312745	25	3	0.702	2	0.41	2
157.70751953125	5	322985	26	3	0.794	3	0.31	1
162.69873046875	5	333207	27	3	1.059	1	0.576	3
167.69873046875	5	343447	28	3	0.935	1	0.452	3
172.69873046875	5	353687	29	2	1.16	2	0.41	1
177.6904296875	5	363910	30	2	0.776	3	0.426	3
182.68994140625	5	374149	31	1	0.96	1	0.41	1
187.681640625	5	384372	32	1	0.643	1	0.459	1
192.681640625	5	394612	33	3	1.009	3	0.26	1
197.68115234375	5	404851	34	3	0.834	2	0.426	2
202.68115234375	5	415091	35	3	0.835	1	0.377	3
207.68115234375	5	425331	36	1	1.052	1	0.502	1
212.67236328125	5	435553	37	1	0.793	3	0.376	2
217.67236328125	5	445793	38	1	0.735	3	0.427	2
222.67236328125	5	456033	39	3	0.935	3	0.194	1
227.66357421875	5	466255	40	3	0.918	2	0.451	2
268.73779296875	5	550375	41	2	0.344	2	0.569	1
273.72900390625	5	560597	42	1	0.585	1	0.368	1
278.720703125	5	570820	43	1	0.343	3	0.443	2
283.720703125	5	581060	44	1	0.81	2	0.31	3
288.72021484375	5	591299	45	2	0.919	3	0.585	3
293.72021484375	5	601539	46	2	0.669	1	0.394	2
298.72021484375	5	611779	47	1	0.935	3	0.435	2
303.72021484375	5	622019	48	1	0.652	2	0.336	3
308.7197265625	5	632258	49	2	0.894	2	0.394	1
313.71142578125	5	642481	50	2	0.668	1	0.368	2
318.71142578125	5	652721	51	3	0.602	3	0.477	1
323.70263671875	5	662943	52	2	0.509	2	0.384	1
328.70263671875	5	673183	53	2	0.751	2	0.243	1
333.70263671875	5	683423	54	1	0.559	2	0.176	3
338.70263671875	5	693663	55	1	0.702	2	0.16	3
343.7021484375	5	703902	56	2	0.627	2	0.202	1
348.69384765625	5	714125	57	2	0.959	1	0.551	2
353.69384765625	5	724365	58	2	0.835	2	0.277	1
358.68505859375	5	734587	59	3	0.968	0	100	2
363.68505859375	5	744827	60	1	0.96	1	0.585	1
368.6767578125	5	755050	61	1	0.776	1	0.434	1
373.67626953125	5	765289	62	3	0.668	2	0.334	2
378.67626953125	5	775529	63	3	0.752	3	0.602	1
383.66796875	5	785752	64	1	0.818	3	0.493	2
388.66748046875	5	795991	65	1	0.652	1	0.419	1
393.6591796875	5	806214	66	1	0.518	2	0.443	3
398.6591796875	5	816454	67	2	0.652	2	0.577	1
403.650390625	5	826676	68	1	0.634	1	0.376	1
408.64208984375	5	836899	69	1	0.709	3	0.434	2
413.64208984375	5	847139	70	2	0.81	3	0.419	3
418.64208984375	5	857379	71	2	0.752	2	0.444	1
423.63330078125	5	867601	72	1	1.176	3	0.61	2
428.63330078125	5	877841	73	1	0.735	3	0.769	2
433.63330078125	5	888081	74	3	0.81	2	0.377	2
438.6328125	5	898320	75	3	0.719	1	0.577	3
443.6328125	5	908560	76	3	0.952	1	0.477	3
448.6328125	5	918800	77	2	1.035	1	0.377	2
453.63232421875	5	929039	78	1	0.827	1	0.502	1
458.6240234375	5	939262	79	3	0.668	1	0.293	3
463.6240234375	5	949502	80	3	0.935	1	0.369	3
524.90576171875	5	1075007	81	2	0.593	3	0.627	3
