onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
175.00537109375	5	358411	1	3	0.133	3	1.325	1
179.99658203125	5	368633	2	1	1.635	3	0.718	2
184.99658203125	5	378873	3	2	1.177	3	0.56	3
189.99658203125	5	389113	4	2	0.094	3	0.502	3
194.99609375	5	399352	5	2	1.26	2	0.444	1
199.98779296875	5	409575	6	1	1.201	1	0.476	1
204.98779296875	5	419815	7	2	0.576	1	0.31	2
209.9873046875	5	430054	8	3	0.969	1	0.711	3
214.9873046875	5	440294	9	1	1.152	2	0.311	3
219.9873046875	5	450534	10	3	1.336	2	0.436	2
224.9873046875	5	460774	11	3	0.669	3	0.519	1
229.978515625	5	470996	12	2	0.943	3	0.701	3
234.978515625	5	481236	13	1	1.152	3	0.719	2
239.978515625	5	491476	14	3	0.76	3	0.444	1
244.9697265625	5	501698	15	2	0.96	3	0.426	3
249.9697265625	5	511938	16	1	0.86	1	0.385	1
254.96142578125	5	522161	17	1	0.859	1	0.784	1
259.9609375	5	532400	18	3	0.651	2	0.751	2
264.9609375	5	542640	19	1	0.91	3	0.594	2
269.9609375	5	552880	20	2	0.652	3	0.285	3
274.96044921875	5	563119	21	2	0.877	3	0.51	3
279.96044921875	5	573359	22	2	1.302	2	0.494	1
284.9521484375	5	583582	23	3	0.676	2	0.526	2
289.9521484375	5	593822	24	1	0.777	1	0.36	1
294.943359375	5	604044	25	2	0.843	1	0.276	2
299.943359375	5	614284	26	1	0.485	2	0.361	3
304.943359375	5	624524	27	3	0.877	2	0.252	2
309.94287109375	5	634763	28	3	0.794	1	0.669	3
314.94287109375	5	645003	29	2	0.544	1	0.319	2
319.94287109375	5	655243	30	1	1.044	3	0.627	2
324.9423828125	5	665482	31	3	0.71	3	0.269	1
329.93408203125	5	675705	32	2	0.876	1	0.276	2
334.93408203125	5	685945	33	2	0.836	3	0.327	3
339.93408203125	5	696185	34	2	1.127	1	1.219	2
344.93359375	5	706424	35	2	0.744	3	0.819	3
349.93359375	5	716664	36	2	0.885	1	0.794	2
354.93359375	5	726904	37	3	0.411	3	0.627	1
359.9248046875	5	737126	38	3	0.601	3	0.41	1
364.9248046875	5	747366	39	3	0.901	3	0.276	1
369.91650390625	5	757589	40	2	0.893	0	100	2
383.857421875	5	786140	41	1	0.994	2	1.877	3
388.857421875	5	796380	42	2	0.527	1	1.027	2
393.857421875	5	806620	43	3	0.627	3	0.727	1
398.8486328125	5	816842	44	1	0.701	3	0.268	2
403.8486328125	5	827082	45	2	0.869	3	1.219	3
408.8486328125	5	837322	46	1	0.719	1	0.727	1
413.83984375	5	847544	47	3	0.743	2	0.909	2
418.83984375	5	857784	48	3	1.119	3	0.594	1
423.83154296875	5	868007	49	2	0.468	1	0.418	2
428.83154296875	5	878247	50	2	0.652	3	1.494	3
433.8310546875	5	888486	51	1	0.76	1	100	1
438.82275390625	5	898709	52	3	0.901	2	1.26	2
443.82275390625	5	908949	53	1	0.66	1	0.71	1
448.81396484375	5	919171	54	2	0.551	1	0.276	2
453.81396484375	5	929411	55	3	0.66	1	0.402	3
458.81396484375	5	939651	56	2	0.677	3	0.335	3
463.8134765625	5	949890	57	1	0.419	2	0.269	3
468.8134765625	5	960130	58	3	0.777	1	0.26	3
473.8134765625	5	970370	59	3	0.669	0	100	2
478.8134765625	5	980610	60	3	0.852	2	0.61	2
483.81298828125	5	990849	61	1	0.885	2	0.135	3
488.81298828125	5	1001089	62	3	0.56	1	0.36	3
493.81298828125	5	1011329	63	2	0.477	3	0.927	3
498.8125	5	1021568	64	1	0.669	2	0.36	3
