onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
3.34814453125	5	6857	1	0	100	0	100	1
8.33935546875	5	17079	2	2	0.943	2	1.093	1
13.33935546875	5	27319	3	1	0.601	3	0.851	2
18.33935546875	5	37559	4	3	0.794	1	1.319	3
23.33935546875	5	47799	5	2	1.044	0	100	2
28.3388671875	5	58038	6	1	0.644	1	0.977	1
33.33056640625	5	68261	7	1	0.635	3	1.735	2
38.33056640625	5	78501	8	3	1.094	0	100	2
43.330078125	5	88740	9	2	0.919	2	0.952	1
48.32177734375	5	98963	10	2	0.435	1	1.085	2
53.32177734375	5	109203	11	1	0.777	0	100	2
58.3212890625	5	119442	12	3	0.635	3	1.369	1
63.31298828125	5	129665	13	3	0.451	1	0.768	3
68.31298828125	5	139905	14	3	1.227	2	1.135	2
73.3125	5	150144	15	2	0.585	1	0.91	2
78.3125	5	160384	16	1	1.31	1	0.66	1
83.30419921875	5	170607	17	2	0.535	3	0.626	3
88.3037109375	5	180846	18	3	1.169	2	0.994	2
93.3037109375	5	191086	19	3	0.71	3	0.869	1
98.29541015625	5	201309	20	1	1.426	1	0.468	1
103.29541015625	5	211549	21	2	0.393	2	0.659	1
108.294921875	5	221788	22	1	1.143	3	0.568	2
113.294921875	5	232028	23	3	1.077	2	0.735	2
118.294921875	5	242268	24	3	0.927	1	1.152	3
123.29443359375	5	252507	25	3	0.894	1	1.56	3
128.29443359375	5	262747	26	1	1.16	3	1.127	2
133.29443359375	5	272987	27	2	0.777	1	0.585	2
138.29443359375	5	283227	28	2	0.802	1	0.819	2
143.2939453125	5	293466	29	1	0.944	2	1.435	3
148.2939453125	5	303706	30	3	0.686	2	1.052	2
153.2939453125	5	313946	31	1	1.077	1	0.494	1
158.28515625	5	324168	32	2	0.501	3	0.809	3
163.28515625	5	334408	33	2	1.302	1	1.044	2
168.28515625	5	344648	34	3	1.135	3	0.602	1
173.2763671875	5	354870	35	3	0.401	1	0.451	3
178.2763671875	5	365110	36	1	0.46	1	0.96	1
183.26806640625	5	375333	37	3	0.876	3	0.943	1
188.267578125	5	385572	38	2	0.568	3	0.776	3
193.267578125	5	395812	39	2	0.644	3	0.769	3
198.267578125	5	406052	40	2	0.794	3	0.802	3
217.8583984375	5	446174	41	2	0.56	1	1.477	2
222.8583984375	5	456414	42	2	0.46	3	1.552	3
227.8583984375	5	466654	43	1	0.535	0	100	2
232.8583984375	5	476894	44	2	1.019	3	0.785	3
237.85791015625	5	487133	45	1	1.394	1	0.794	1
242.849609375	5	497356	46	3	0.376	2	0.76	2
247.849609375	5	507596	47	2	1.36	3	0.635	3
252.84912109375	5	517835	48	1	0.494	3	0.844	2
257.84912109375	5	528075	49	2	1.069	3	1.477	3
262.84912109375	5	538315	50	1	0.535	1	0.777	1
267.84033203125	5	548537	51	2	1.001	3	1.009	3
272.84033203125	5	558777	52	2	1.335	1	1.169	2
277.84033203125	5	569017	53	3	0.594	0	100	2
282.84033203125	5	579257	54	2	1.252	3	0.994	3
287.83984375	5	589496	55	1	1.502	1	0.669	1
292.83154296875	5	599719	56	3	1.335	2	0.943	2
297.83154296875	5	609959	57	3	0.919	1	0.969	3
302.8310546875	5	620198	58	3	0.869	3	1.469	1
307.82275390625	5	630421	59	1	1.16	1	0.501	1
312.82275390625	5	640661	60	3	0.493	3	0.776	1
317.822265625	5	650900	61	2	0.568	1	1.76	2
322.822265625	5	661140	62	3	1.827	3	1.069	1
327.81396484375	5	671363	63	2	0.593	3	1.335	3
332.81396484375	5	681603	64	1	0.494	1	0.66	1
337.80517578125	5	691825	65	1	0.576	1	1.468	1
342.80517578125	5	702065	66	1	1.068	3	0.835	2
347.80517578125	5	712305	67	3	0.577	3	1.76	1
352.79638671875	5	722527	68	1	0.443	1	0.61	1
357.79638671875	5	732767	69	3	1.293	3	0.901	1
362.79638671875	5	743007	70	3	1.385	3	0.493	1
367.7958984375	5	753246	71	2	1.168	1	0.543	2
372.7958984375	5	763486	72	1	1.294	3	1.044	2
377.7958984375	5	773726	73	1	0.91	1	1.802	1
382.787109375	5	783948	74	3	1.426	1	0.926	3
387.787109375	5	794188	75	2	0.444	3	1.252	3
392.787109375	5	804428	76	1	0.819	3	1.585	2
397.787109375	5	814668	77	3	0.552	1	0.935	3
402.78662109375	5	824907	78	2	0.885	3	1.302	3
407.78662109375	5	835147	79	1	0.453	3	1.194	2
