onset	duration	onset_sample	trial_num	player1_resp	player1_rt	player2_resp	player2_rt	outcome
139.5673828125	5	285834	1	1	1.508	3	1.341	2
144.55908203125	5	296057	2	3	0.469	0	100	2
149.55859375	5	306296	3	1	1.027	2	0.669	3
154.55029296875	5	316519	4	3	0.485	1	0.685	3
159.55029296875	5	326759	5	2	0.411	3	0.911	3
164.5498046875	5	336998	6	3	1.985	1	0.877	3
169.5498046875	5	347238	7	1	0.311	2	1.06	3
174.5498046875	5	357478	8	3	0.902	1	0.886	3
179.54931640625	5	367717	9	3	0.361	3	0.627	1
184.541015625	5	377940	10	2	1.343	3	0.726	3
189.541015625	5	388180	11	3	0.302	2	0.644	2
194.541015625	5	398420	12	2	0.344	1	0.444	2
199.54052734375	5	408659	13	3	0.286	3	0.711	1
204.5322265625	5	418882	14	1	1.226	2	0.851	3
209.5322265625	5	429122	15	3	0.777	3	1.102	1
214.5234375	5	439344	16	2	0.535	1	0.726	2
219.5234375	5	449584	17	1	0.752	1	1.202	1
224.51513671875	5	459807	18	1	1.543	3	1.71	2
229.5146484375	5	470046	19	3	1.419	3	0.852	1
234.50634765625	5	480269	20	3	0.81	2	0.826	2
239.50634765625	5	490509	21	2	1.652	1	1.077	2
244.505859375	5	500748	22	1	1.06	3	0.836	2
249.505859375	5	510988	23	3	0.336	2	1.061	2
254.49755859375	5	521211	24	1	1.385	1	1.394	1
259.48876953125	5	531433	25	1	0.501	0	100	2
264.48876953125	5	541673	26	2	0.819	1	1.227	2
269.48876953125	5	551913	27	3	1.26	2	0.927	2
274.48876953125	5	562153	28	1	1.269	3	0.81	2
279.48828125	5	572392	29	3	0.994	3	1.06	1
284.47998046875	5	582615	30	1	0.318	2	0.785	3
289.47998046875	5	592855	31	2	0.477	3	1.311	3
294.4794921875	5	603094	32	3	1.519	1	1.285	3
299.4794921875	5	613334	33	3	0.977	2	1.002	2
304.4794921875	5	623574	34	1	0.644	3	1.277	2
309.47900390625	5	633813	35	2	0.519	1	1.06	2
314.47900390625	5	644053	36	3	0.36	3	1.094	1
319.470703125	5	654276	37	1	1.243	3	0.735	2
324.470703125	5	664516	38	2	0.769	2	0.852	1
329.4619140625	5	674738	39	2	0.651	1	0.835	2
334.4619140625	5	684978	40	3	0.269	2	0.902	2
356.5029296875	5	730118	41	3	1.044	3	1.277	1
361.49462890625	5	740341	42	2	0.976	1	0.376	2
366.494140625	5	750580	43	1	0.56	3	0.727	2
371.494140625	5	760820	44	2	1.502	1	1.319	2
376.494140625	5	771060	45	3	0.76	3	0.952	1
381.4853515625	5	781282	46	0	100	2	0.71	3
386.4853515625	5	791522	47	3	0.527	1	1.01	3
391.4853515625	5	801762	48	3	0.41	2	0.744	2
396.4853515625	5	812002	49	2	0.486	1	0.56	2
401.48486328125	5	822241	50	1	0.727	2	1.286	3
406.48486328125	5	832481	51	1	0.444	3	1.177	2
411.48486328125	5	842721	52	3	0.502	1	0.852	3
416.484375	5	852960	53	2	1.144	2	0.96	1
421.47607421875	5	863183	54	1	0.801	3	0.96	2
426.47607421875	5	873423	55	3	0.31	2	0.969	2
431.4755859375	5	883662	56	1	0.802	1	0.385	1
436.46728515625	5	893885	57	3	0.909	3	1.276	1
441.46728515625	5	904125	58	2	0.701	3	1.435	3
446.46728515625	5	914365	59	2	0.294	1	1.077	2
451.466796875	5	924604	60	1	1.035	2	1.352	3
456.466796875	5	934844	61	1	0.986	3	1.452	2
461.466796875	5	945084	62	3	0.385	1	0.61	3
466.46630859375	5	955323	63	3	0.86	2	0.602	2
471.46630859375	5	965563	64	2	0.952	1	0.36	2
476.46630859375	5	975803	65	3	0.585	1	1.644	3
481.46630859375	5	986043	66	3	0.302	2	1.127	2
486.4658203125	5	996282	67	2	0.244	3	0.502	3
491.4658203125	5	1006522	68	1	0.56	2	1.269	3
496.4658203125	5	1016762	69	1	0.344	3	1.01	2
501.46533203125	5	1027001	70	2	0.385	1	1.369	2
506.46533203125	5	1037241	71	1	0.735	2	0.927	3
511.46533203125	5	1047481	72	3	0.435	2	1.335	2
516.46533203125	5	1057721	73	3	0.335	1	0.794	3
521.46484375	5	1067960	74	1	0.486	3	1.177	2
526.46484375	5	1078200	75	2	0.31	2	1.119	1
531.45654296875	5	1088423	76	1	0.934	1	0.993	1
536.4560546875	5	1098662	77	3	0.701	3	1.185	1
541.4560546875	5	1108902	78	2	0.335	2	1.118	1
546.4560546875	5	1119142	79	1	0.385	3	1.176	2
551.4560546875	5	1129382	80	3	0.427	2	0.977	2
577.0634765625	5	1181826	81	1	1.16	1	1.086	1
582.05517578125	5	1192049	82	3	0.718	3	0.643	1
587.0546875	5	1202288	83	3	0.276	2	1.185	2
592.0546875	5	1212528	84	1	0.377	1	1.027	1
597.04638671875	5	1222751	85	1	1.01	1	0.843	1
602.0458984375	5	1232990	86	1	1.193	3	0.993	2
607.0458984375	5	1243230	87	2	0.961	2	1.144	1
612.03759765625	5	1253453	88	2	0.785	3	0.81	3
617.037109375	5	1263692	89	1	0.569	1	1.244	1
622.02880859375	5	1273915	90	3	0.284	2	1.109	2
627.02880859375	5	1284155	91	1	0.777	3	1.377	2
632.02880859375	5	1294395	92	2	0.327	2	1.044	1
637.02001953125	5	1304617	93	2	0.485	1	0.801	2
642.02001953125	5	1314857	94	3	0.31	3	0.977	1
647.01171875	5	1325080	95	1	0.51	2	0.66	3
